學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀校際選課人次小計,修讀校際選課人次男,修讀校際選課人次女
105,1,公立,一般大學,0004,國立臺灣師範大學,02221036,臺灣史研究所,碩士班(日間),6,3,3
105,1,公立,一般大學,0004,國立臺灣師範大學,02311033,英語學系,學士班(日間),41,11,30
105,1,公立,一般大學,0004,國立臺灣師範大學,02311033,英語學系,碩士班(日間),6,3,3
105,1,公立,一般大學,0004,國立臺灣師範大學,02312034,翻譯研究所,碩士班(日間),10,1,9
105,1,公立,一般大學,0004,國立臺灣師範大學,02313005,華語文教學系,學士班(日間),3,1,2
105,1,公立,一般大學,0004,國立臺灣師範大學,02313005,華語文教學系,碩士班(日間),2,1,1
105,1,公立,一般大學,0004,國立臺灣師範大學,02321028,臺灣語文學系,學士班(日間),6,4,2
105,1,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,學士班(日間),39,8,31
105,1,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,碩士班(日間),13,5,8
105,1,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,博士班,1,0,1
105,1,公立,一般大學,0004,國立臺灣師範大學,02323030,應用華語文學系,學士班(日間),9,2,7
105,1,公立,一般大學,0004,國立臺灣師範大學,02323030,應用華語文學系,碩士班(日間),1,0,1
105,1,公立,一般大學,0004,國立臺灣師範大學,03121039,政治學研究所,碩士班(日間),2,0,2
105,1,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,學士班(日間),23,10,13
105,1,公立,一般大學,0004,國立臺灣師範大學,03142041,地理學系,學士班(日間),35,20,15
