學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),合作學校國家(地區)別,合作學校國家(地區)區域別,修讀雙聯學制學生人數本國學生小計,修讀雙聯學制學生人數本國學生男,修讀雙聯學制學生人數本國學生女,修讀雙聯學制學生人數外國學生小計,修讀雙聯學制學生人數外國學生男,修讀雙聯學制學生人數外國學生女
105,2,公立,技專校院,0026,國立高雄第一科技大學,02311003,應用日語系,碩士班(日間),日本,其他亞洲地區,1,1,0,0,0,0
105,2,公立,技專校院,0026,國立高雄第一科技大學,04131012,國際管理碩士學位學程,碩士班(日間),奧地利共和國,歐洲,0,0,0,5,2,3
105,2,公立,技專校院,0026,國立高雄第一科技大學,04131012,國際管理碩士學位學程,碩士班(日間),美國,北美洲,0,0,0,2,2,0
105,2,公立,技專校院,0026,國立高雄第一科技大學,04132023,行銷與流通管理系,碩士班(日間),日本,其他亞洲地區,2,1,1,0,0,0
105,2,公立,技專校院,0027,國立高雄應用科技大學,10151046,觀光管理系觀光與餐旅管理碩士班,碩士班(日間),瑞士聯邦,歐洲,1,0,1,0,0,0
105,2,公立,一般大學,0030,國立臺東大學,01141006,體育學系,學士班(日間),日本,其他亞洲地區,4,2,2,1,0,1
105,2,公立,一般大學,0032,國立聯合大學,04131011,經營管理學系,學士班(日間),美國,北美洲,1,1,0,0,0,0
105,2,公立,技專校院,0034,國立高雄海洋科技大學,07211016,水產食品科學系,碩士班(日間),日本,其他亞洲地區,1,0,1,1,0,1
105,2,公立,技專校院,0034,國立高雄海洋科技大學,08312019,水產養殖系,碩士班(日間),日本,其他亞洲地區,2,0,2,0,0,0
105,2,公立,一般大學,0039,國立臺中教育大學,02151030,音樂學系,學士班(日間),日本,其他亞洲地區,1,0,1,0,0,0
105,2,公立,一般大學,0039,國立臺中教育大學,06131042,資訊工程學系,碩士班(日間),美國,北美洲,1,0,1,0,0,0
105,2,公立,技專校院,0042,國立澎湖科技大學,10151016,觀光休閒系,學士班(日間),越南社會主義共和國,東協,0,0,0,4,0,4
105,2,公立,技專校院,0046,國立臺北護理健康大學,04133004,健康事業管理系,學士班(日間),澳大利亞,其他亞洲地區,1,0,1,0,0,0
105,2,公立,技專校院,0046,國立臺北護理健康大學,09131009,護理系,學士班(日間),澳大利亞,其他亞洲地區,4,0,4,0,0,0
105,2,公立,技專校院,0046,國立臺北護理健康大學,09131009,護理系,學士班(日間),英國,歐洲,1,0,1,0,0,0
105,2,公立,技專校院,0047,國立高雄餐旅大學,10131030,餐飲管理系,學士班(日間),英國,歐洲,1,0,1,0,0,0
105,2,公立,技專校院,0047,國立高雄餐旅大學,10499019,航空暨運輸服務管理系,學士班(日間),英國,歐洲,1,0,1,0,0,0
105,2,公立,一般大學,0049,國立臺灣體育運動大學,10141003,競技運動學系,學士班(日間),日本,其他亞洲地區,1,0,1,0,0,0
105,2,公立,技專校院,0050,國立臺中科技大學,02311004,應用日語系,學士班(日間),日本,其他亞洲地區,5,1,4,0,0,0
105,2,私立,一般大學,1001,東海大學,02131002,美術學系,學士班(日間),馬來西亞,東協,0,0,0,1,0,1
105,2,私立,一般大學,1001,東海大學,02322004,中國文學系,學士班(日間),馬來西亞,東協,0,0,0,7,0,7
105,2,私立,一般大學,1001,東海大學,04131021,國際學院國際經營管理學位學程,學士班(日間),美國,北美洲,3,1,2,0,0,0
