學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀輔系人次小計,修讀輔系人次男,修讀輔系人次女
105,1,公立,一般大學,0012,國立臺灣海洋大學,04199055,海洋觀光管理學士學位學程,學士班(日間),3,2,1
105,1,公立,一般大學,0012,國立臺灣海洋大學,05121014,生命科學暨生物科技學系,學士班(日間),2,1,1
105,1,公立,一般大學,0012,國立臺灣海洋大學,05323020,海洋環境資訊系,學士班(日間),1,0,1
105,1,公立,一般大學,0012,國立臺灣海洋大學,06131028,資訊工程學系,學士班(日間),2,2,0
105,1,公立,一般大學,0012,國立臺灣海洋大學,07122040,河海工程學系,學士班(日間),7,5,2
105,1,公立,一般大學,0012,國立臺灣海洋大學,07141025,電機工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0012,國立臺灣海洋大學,07163033,系統工程暨造船學系,學士班(日間),1,1,0
105,1,公立,一般大學,0012,國立臺灣海洋大學,07211042,食品科學系,學士班(日間),5,3,2
105,1,公立,一般大學,0012,國立臺灣海洋大學,08311045,環境生物與漁業科學學系,學士班(日間),1,1,0
105,1,公立,一般大學,0012,國立臺灣海洋大學,08312046,水產養殖學系,學士班(日間),6,2,4
105,1,公立,一般大學,0012,國立臺灣海洋大學,10412048,航運管理學系,學士班(日間),33,17,16
