年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,學校承接「產學合作」計畫經費-小計,學校承接「產學合作」計畫經費-政府部門資助,學校承接「產學合作」計畫經費-企業部門資助,學校承接「產學合作」計畫經費-其他單位資助,專任教師每師平均承接「產學合作」計畫經費
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,348,51166598,0,6990385,44176213,147030.45
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,248,12746913,560000,9692974,2493939,51398.84
106,私立,技專校院,1072,大華學校財團法人敏實科技大學,110,2276075,0,966075,1310000,20691.59
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,243,32733265,14403467,11964540,6365258,134704.79
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,103,6153500,0,5203000,950500,59742.72
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,270,38150336,14390982,4856269,18903085,141297.54
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,161,7276470,1511000,5683000,82470,45195.47
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,155,8408095,450500,1545640,6411955,54245.77
106,私立,技專校院,1078,致理學校財團法人致理科技大學,275,29230763,11295395,14741181,3194187,106293.68
106,私立,一般大學,1079,康寧學校財團法人康寧大學,162,4272198,99880,2390518,1781800,26371.59
