學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),畢業專業學分數,畢業通識/共同學分數,畢業實習學分數,畢業其他畢業學分數,畢業總學分數
106,公立,一般大學,0007,國立陽明交通大學,05331041,電子物理學系,學士班(日間),77,28,0,23,128
106,公立,一般大學,0007,國立陽明交通大學,05399044,理學院科學學士學位學程,學士班(日間),78,28,0,22,128
106,公立,一般大學,0007,國立陽明交通大學,05411045,應用數學系,學士班(日間),72,28,0,28,128
106,公立,一般大學,0007,國立陽明交通大學,06131058,資訊工程學系,學士班(日間),88,28,0,12,128
106,公立,一般大學,0007,國立陽明交通大學,07112072,材料科學與工程學系,學士班(日間),90,28,0,12,130
106,公立,一般大學,0007,國立陽明交通大學,07141050,電機工程學系,學士班(日間),86,28,0,14,128
106,公立,一般大學,0007,國立陽明交通大學,07141051,電子工程學系,學士班(日間),87,28,0,14,129
106,公立,一般大學,0007,國立陽明交通大學,07141055,光電工程學系,學士班(日間),97,28,0,3,128
106,公立,一般大學,0007,國立陽明交通大學,07141068,電機資訊學士班,學士班(日間),78,28,0,22,128
106,公立,一般大學,0007,國立陽明交通大學,07141074,奈米科學及工程學士學位學程,學士班(日間),89,28,0,13,130
106,公立,一般大學,0007,國立陽明交通大學,07151070,機械工程學系,學士班(日間),94,28,0,9,131
106,公立,一般大學,0007,國立陽明交通大學,07191075,工業工程與管理學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0007,國立陽明交通大學,07321071,土木工程學系,學士班(日間),94,28,0,15,137
106,公立,一般大學,0007,國立陽明交通大學,10411086,運輸與物流管理學系,學士班(日間),94,28,0,14,136
106,公立,一般大學,0008,國立中央大學,02311007,英美語文學系,學士班(日間),80,25,0,23,128
106,公立,一般大學,0008,國立中央大學,02311008,法國語文學系,學士班(日間),105,25,0,0,130
106,公立,一般大學,0008,國立中央大學,02322006,中國文學系,學士班(日間),86,25,0,17,128
106,公立,一般大學,0008,國立中央大學,03111013,經濟學系,學士班(日間),77,14,0,20,111
