,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,男,女,總計
,101,公立,一般大學,8,國立中央大學,520403,化學工程與材料工程學系,學士班(日間),3,1,4
,101,公立,一般大學,9,國立中山大學,210401,音樂學系,學士班(日間),3,10,13
,101,公立,一般大學,9,國立中山大學,210506,劇場藝術學系,學士班(日間),11,17,28
,101,公立,一般大學,9,國立中山大學,220201,中國文學系,學士班(日間),4,5,9
,101,公立,一般大學,9,國立中山大學,220301,外國語文學系,學士班(日間),1,8,9
,101,公立,一般大學,9,國立中山大學,310109,政治經濟學系,學士班(日間),4,1,5
,101,公立,一般大學,9,國立中山大學,340301,企業管理學系,學士班(日間),10,6,16
,101,公立,一般大學,9,國立中山大學,340504,財務管理學系,學士班(日間),6,5,11
,101,公立,一般大學,9,國立中山大學,420101,生物科學系,學士班(日間),5,0,5
,101,公立,一般大學,9,國立中山大學,440101,化學系,學士班(日間),5,0,5
,101,公立,一般大學,9,國立中山大學,440301,物理學系,學士班(日間),8,0,8
,101,公立,一般大學,9,國立中山大學,440501,海洋生物科技暨資源學系,學士班(日間),4,0,4
,101,公立,一般大學,9,國立中山大學,460102,應用數學系,學士班(日間),12,4,16
,101,公立,一般大學,9,國立中山大學,480109,資訊管理學系,學士班(日間),2,3,5
,101,公立,一般大學,9,國立中山大學,520101,電機工程學系,學士班(日間),29,1,30
,101,公立,一般大學,9,國立中山大學,520106,光電工程學系,學士班(日間),3,0,3
,101,公立,一般大學,9,國立中山大學,520114,資訊工程學系,學士班(日間),14,0,14
,101,公立,一般大學,9,國立中山大學,520226,機械與機電工程學系,學士班(日間),19,1,20
,101,公立,一般大學,9,國立中山大學,520509,材料與光電科學學系,學士班(日間),3,0,3
,101,公立,一般大學,9,國立中山大學,520909,海洋環境及工程學系,學士班(日間),4,1,5
,101,公立,一般大學,12,國立臺灣海洋大學,349915,海洋資源管理學系,學士班(進修),3,3,6
,101,公立,一般大學,12,國立臺灣海洋大學,420103,生命科學系,學士班(日間),3,2,5
,101,公立,一般大學,12,國立臺灣海洋大學,440504,海洋環境資訊系,學士班(日間),4,1,5
,101,公立,一般大學,12,國立臺灣海洋大學,520101,電機工程學系,學士班(日間),11,0,11
,101,公立,一般大學,12,國立臺灣海洋大學,520114,資訊工程學系,學士班(日間),17,0,17
,101,公立,一般大學,12,國立臺灣海洋大學,520125,通訊與導航工程學系,學士班(日間),6,1,7
