學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,畢業生數小計,畢業生數男,畢業生數女,畢業生取得輔系資格人數小計,畢業生取得輔系資格人數男,畢業生取得輔系資格人數女,畢業生取得雙主修資格人數小計,畢業生取得雙主修資格人數男,畢業生取得雙主修資格人數女
105,私立,一般大學,1007,逢甲大學,碩士在職專班,372,225,147,...,...,...,...,...,...
105,私立,一般大學,1007,逢甲大學,博士班,45,30,15,...,...,...,...,...,...
105,私立,一般大學,1008,靜宜大學,學士班(日間),2519,846,1673,...,...,...,...,...,...
105,私立,一般大學,1008,靜宜大學,學士班(進修),4,1,3,...,...,...,...,...,...
105,私立,一般大學,1008,靜宜大學,碩士班(日間),180,63,117,...,...,...,...,...,...
105,私立,一般大學,1008,靜宜大學,碩士在職專班,84,39,45,...,...,...,...,...,...
105,私立,一般大學,1008,靜宜大學,博士班,6,3,3,...,...,...,...,...,...
105,私立,一般大學,1009,長庚大學,學士班(日間),1130,596,534,...,...,...,...,...,...
105,私立,一般大學,1009,長庚大學,碩士班(日間),465,268,197,...,...,...,...,...,...
105,私立,一般大學,1009,長庚大學,碩士在職專班,64,38,26,...,...,...,...,...,...
105,私立,一般大學,1009,長庚大學,博士班,76,55,21,...,...,...,...,...,...
105,私立,一般大學,1010,元智大學,學士班(日間),1580,826,754,...,...,...,...,...,...
105,私立,一般大學,1010,元智大學,碩士班(日間),410,290,120,...,...,...,...,...,...
105,私立,一般大學,1010,元智大學,碩士在職專班,215,131,84,...,...,...,...,...,...
105,私立,一般大學,1010,元智大學,博士班,31,25,6,...,...,...,...,...,...
105,私立,一般大學,1011,中華大學學校財團法人中華大學,學士班(日間),1447,833,614,...,...,...,...,...,...
105,私立,一般大學,1011,中華大學學校財團法人中華大學,學士班(進修),227,135,92,...,...,...,...,...,...
105,私立,一般大學,1011,中華大學學校財團法人中華大學,碩士班(日間),357,175,182,...,...,...,...,...,...
105,私立,一般大學,1011,中華大學學校財團法人中華大學,碩士在職專班,123,69,54,...,...,...,...,...,...
105,私立,一般大學,1011,中華大學學校財團法人中華大學,博士班,27,19,8,...,...,...,...,...,...
105,私立,一般大學,1012,大葉大學,學士班(日間),1931,1074,857,...,...,...,...,...,...
105,私立,一般大學,1012,大葉大學,學士班(進修),212,143,69,...,...,...,...,...,...
105,私立,一般大學,1012,大葉大學,碩士班(日間),283,152,131,...,...,...,...,...,...
105,私立,一般大學,1012,大葉大學,碩士在職專班,240,76,164,...,...,...,...,...,...
